Width [m],Depth [m],Area [m2],Height [m],Orientation,WWR [%],SHD,Cooling[kWh],Heating[kWh],Lighting[kWh],EUI [kwh/m2],EffDepth[m],DA [%],UDI [%],CDA [%],SDA [Area%],img,threeD,Rating
4.5,10,45,3,0,0.4,0,1775.336166,4019.071531,694.957328,144.2081117,4.75,40,46.111111,54.444444,50,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_0.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_0.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,0,0.4,0,1913.459768,4279.592955,627.582736,151.5696769,5.25,43.888889,51.111111,57.222222,55,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_0.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_0.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,0,0.4,0,2044.072567,4561.665896,452.009184,156.8388366,5.75,46.666667,56.666667,61.111111,58.89,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_0.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_0.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,135,0.4,0,1636.365174,4613.369826,901.327576,158.9125017,3.75,29.444444,43.333333,40,37.78,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,135,0.4,0,1679.93789,5064.550758,739.431426,166.309335,3.75,32.777778,48.333333,44.444444,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,135,0.4,0,1809.852796,5486.842676,632.340733,176.2008046,4.25,35,48.888889,47.777778,45,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_135.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,180,0.4,0,1539.029747,4690.948475,985.065021,160.3342943,3.25,27.777778,48.888889,40,35,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,180,0.4,0,1600.892071,5138.017664,866.67329,169.0129561,3.75,30,49.444444,43.888889,39.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,180,0.4,0,1727.329948,5553.301973,831.336929,180.2659744,4.25,35,50.555556,45,43.33,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,225,0.4,0,1693.788327,4617.726414,1036.311189,163.2850207,3.75,29.444444,45,40,35.56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,225,0.4,0,1769.769984,5057.033168,904.24208,171.8010052,3.75,31.666667,46.666667,44.444444,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.6.json,0
